,time
1027,4.0117
1028,4.0156
1029,4.0195
1030,4.0234
1031,4.0273
1032,4.0312
1033,4.0352
1034,4.0391
1035,4.043
1036,4.0469
1037,4.0508
1038,4.0547
1039,4.0586
1040,4.0625
1041,4.0664
1042,4.0703
1043,4.0742
1044,4.0781
1045,4.082
1046,4.0859
1047,4.0898
1048,4.0938
1049,4.0977
1050,4.1016
1051,4.1055
1052,4.1094
1053,4.1133
1054,4.1172
1055,4.1211
1056,4.125
1057,4.1289
1058,4.1328
1059,4.1367
1060,4.1406
1061,4.1445
1062,4.1484
1063,4.1523
1064,4.1562
1065,4.1602
1066,4.1641
1067,4.168
1068,4.1719
1069,4.1758
1070,4.1797
1071,4.1836
1072,4.1875
1073,4.1914
1074,4.1953
1075,4.1992
1076,4.2031
1077,4.207
1078,4.2109
1079,4.2148
1080,4.2188
1081,4.2227
1082,4.2266
1083,4.2305
1084,4.2344
1085,4.2383
1086,4.2422
1087,4.2461
1088,4.25
1089,4.2539
1090,4.2578
1091,4.2617
1092,4.2656
1093,4.2695
1094,4.2734
1095,4.2773
1096,4.2812
1097,4.2852
1098,4.2891
1099,4.293
1100,4.2969
1101,4.3008
1102,4.3047
1103,4.3086
1104,4.3125
1105,4.3164
1106,4.3203
1107,4.3242
1108,4.3281
1109,4.332
1110,4.3359
1111,4.3398
1112,4.3438
1113,4.3477
1114,4.3516
1115,4.3555
1116,4.3594
1117,4.3633
1118,4.3672
1119,4.3711
1120,4.375
1121,4.3789
1122,4.3828
1123,4.3867
1124,4.3906
1125,4.3945
1126,4.3984
1127,4.4023
1128,4.4062
1129,4.4102
1130,4.4141
1131,4.418
1132,4.4219
1133,4.4258
1134,4.4297
1135,4.4336
1136,4.4375
1137,4.4414
1138,4.4453
1139,4.4492
1140,4.4531
1141,4.457
1142,4.4609
1143,4.4648
1144,4.4688
1145,4.4727
1146,4.4766
1147,4.4805
1148,4.4844
1149,4.4883
1150,4.4922
1151,4.4961
1152,4.5
1153,4.5039
1154,4.5078
1155,4.5117
1156,4.5156
1157,4.5195
1158,4.5234
1159,4.5273
1160,4.5312
1161,4.5352
1162,4.5391
1163,4.543
1164,4.5469
1165,4.5508
1166,4.5547
1167,4.5586
1168,4.5625
1169,4.5664
1170,4.5703
1171,4.5742
1172,4.5781
1173,4.582
1174,4.5859
1175,4.5898
1176,4.5938
1177,4.5977
1178,4.6016
1179,4.6055
1180,4.6094
1181,4.6133
1182,4.6172
1183,4.6211
1184,4.625
1185,4.6289
1186,4.6328
1187,4.6367
1188,4.6406
1189,4.6445
1190,4.6484
1191,4.6523
1192,4.6562
1193,4.6602
1194,4.6641
1195,4.668
1196,4.6719
1197,4.6758
1198,4.6797
1199,4.6836
1200,4.6875
1201,4.6914
1202,4.6953
1203,4.6992
1204,4.7031
1205,4.707
1206,4.7109
1207,4.7148
1208,4.7188
1209,4.7227
1210,4.7266
1211,4.7305
1212,4.7344
1213,4.7383
1214,4.7422
1215,4.7461
1216,4.75
1217,4.7539
1218,4.7578
1219,4.7617
1220,4.7656
1221,4.7695
1222,4.7734
1223,4.7773
1224,4.7812
1225,4.7852
1226,4.7891
1227,4.793
1228,4.7969
1229,4.8008
1230,4.8047
1231,4.8086
1232,4.8125
1233,4.8164
1234,4.8203
1235,4.8242
1236,4.8281
1237,4.832
1238,4.8359
1239,4.8398
1240,4.8438
1241,4.8477
1242,4.8516
1243,4.8555
1244,4.8594
1245,4.8633
1246,4.8672
1247,4.8711
1248,4.875
1249,4.8789
1250,4.8828
1251,4.8867
1252,4.8906
1253,4.8945
1254,4.8984
1255,4.9023
1256,4.9062
1257,4.9102
1258,4.9141
1259,4.918
1260,4.9219
1261,4.9258
1262,4.9297
1263,4.9336
1264,4.9375
1265,4.9414
1266,4.9453
1267,4.9492
1268,4.9531
1269,4.957
1270,4.9609
1271,4.9648
1272,4.9688
1273,4.9727
1274,4.9766
1275,4.9805
1276,4.9844
1277,4.9883
1278,4.9922
1279,4.9961
1280,5.0
1281,5.0039
1282,5.0078
1283,5.0117
1284,5.0156
1285,5.0195
1286,5.0234
1287,5.0273
1288,5.0312
1289,5.0352
1290,5.0391
1291,5.043
1292,5.0469
1293,5.0508
1294,5.0547
1295,5.0586
1296,5.0625
1297,5.0664
1298,5.0703
1299,5.0742
1300,5.0781
1301,5.082
1302,5.0859
1303,5.0898
1304,5.0938
1305,5.0977
1306,5.1016
1307,5.1055
1308,5.1094
1309,5.1133
1310,5.1172
1311,5.1211
1312,5.125
1313,5.1289
1314,5.1328
1315,5.1367
1316,5.1406
1317,5.1445
1318,5.1484
1319,5.1523
1320,5.1562
1321,5.1602
1322,5.1641
1323,5.168
1324,5.1719
1325,5.1758
1326,5.1797
1327,5.1836
1328,5.1875
1329,5.1914
1330,5.1953
1331,5.1992
1332,5.2031
1333,5.207
1334,5.2109
1335,5.2148
1336,5.2188
1337,5.2227
1338,5.2266
1339,5.2305
1340,5.2344
1341,5.2383
1342,5.2422
1343,5.2461
1344,5.25
1345,5.2539
1346,5.2578
1347,5.2617
1348,5.2656
1349,5.2695
1350,5.2734
1351,5.2773
1352,5.2812
1353,5.2852
1354,5.2891
1355,5.293
1356,5.2969
1357,5.3008
1358,5.3047
1359,5.3086
1360,5.3125
1361,5.3164
1362,5.3203
1363,5.3242
1364,5.3281
1365,5.332
1366,5.3359
1367,5.3398
1368,5.3438
1369,5.3477
1370,5.3516
1371,5.3555
1372,5.3594
1373,5.3633
1374,5.3672
1375,5.3711
1376,5.375
1377,5.3789
1378,5.3828
1379,5.3867
1380,5.3906
1381,5.3945
1382,5.3984
1383,5.4023
1384,5.4062
1385,5.4102
1386,5.4141
1387,5.418
1388,5.4219
1389,5.4258
1390,5.4297
1391,5.4336
1392,5.4375
1393,5.4414
1394,5.4453
1395,5.4492
1396,5.4531
1397,5.457
1398,5.4609
1399,5.4648
1400,5.4688
1401,5.4727
1402,5.4766
1403,5.4805
1404,5.4844
1405,5.4883
1406,5.4922
1407,5.4961
1408,5.5
1409,5.5039
1410,5.5078
1411,5.5117
1412,5.5156
1413,5.5195
1414,5.5234
1415,5.5273
1416,5.5312
1417,5.5352
1418,5.5391
1419,5.543
1420,5.5469
1421,5.5508
1422,5.5547
1423,5.5586
1424,5.5625
1425,5.5664
1426,5.5703
1427,5.5742
1428,5.5781
1429,5.582
1430,5.5859
1431,5.5898
1432,5.5938
1433,5.5977
1434,5.6016
1435,5.6055
1436,5.6094
1437,5.6133
1438,5.6172
1439,5.6211
1440,5.625
1441,5.6289
1442,5.6328
1443,5.6367
1444,5.6406
1445,5.6445
1446,5.6484
1447,5.6523
1448,5.6562
1449,5.6602
1450,5.6641
1451,5.668
1452,5.6719
1453,5.6758
